ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
230	6,7,6	0,2,0	13,12,3	0,0,0	341	149
231	9,9,8	90,101,85	15,13,4	104,68,72	390	149
232	8,9,6	98,92,73	18,7,8	73,105,76	495	149
233	11,12,7	0,3,4	11,10,8	0,0,0	845	149
234	3,6,2	100,78,86	6,9,8	105,102,79	388	149
236	24,29,17	1,0,0	23,19,20	0,0,0	1568	149
237	13,13,8	11,7,11	16,12,10	8,13,6	734	149
239	13,13,8	2,3,3	17,12,11	1,2,2	749	149
240	23,9,16	0,0,0	27,25,9	0,0,1	262	149
241	14,4,3	72,87,65	15,20,4	66,108,33	230	149
242	2,5,4	69,71,52	8,7,0	70,102,37	284	149
243	4,3,3	11,9,9	1,0,4	10,13,5	685	149
244	60,59,47	191,169,142	44,59,57	216,200,152	239	149
245	11,24,20	303,261,239	32,24,13	291,258,250	242	149
247	80,80,76	0,2,5	89,62,55	2,7,2	283	149
248	8,11,4	0,0,0	4,8,3	2,0,0	315	149
250	23,11,24	3395,2680,2714	36,29,19	2825,3363,2839	240	149
251	100,69,70	553,465,448	69,59,66	551,571,446	246	149
252	248,207,226	4,0,5	195,208,201	12,19,8	964	149
253	175,153,196	834,679,679	154,179,164	716,674,655	776	149
254	47,27,16	1357,1191,1146	24,30,25	1297,1287,1304	242	149
255	59,34,21	149,105,123	30,44,37	120,165,125	245	149
256	171,139,158	274,276,205	168,176,143	265,279,257	238	149
257	213,168,184	6,3,2	217,216,176	3,6,5	249	149
258	260,281,274	122,95,94	201,237,210	106,116,89	923	149
259	398,406,392	1629,1268,1184	300,321,291	1242,1325,1287	1595	149
260	158,133,142	40,33,35	109,95,93	30,45,28	684	149
261	195,166,171	18,20,17	144,136,131	11,11,12	747	149
262	178,147,154	0,0,1	120,100,106	2,0,3	719	149
263	583,584,627	2,0,0	404,389,387	0,0,0	2588	149
264	218,227,292	2103,1801,1626	136,113,135	1717,1711,1834	1033	149
265	114,110,130	0,3,0	62,47,49	1,1,0	459	149
266	283,293,327	4,0,0	198,161,205	0,0,0	1532	149
267	112,97,72	3512,3245,2522	97,87,101	2988,3223,3079	584	149
268	140,186,141	155,157,203	124,72,114	173,123,164	2020	149
269	337,348,302	1,5,6	358,313,355	0,3,4	246	149
270	460,526,417	0,0,0	462,368,447	0,0,1	2203	149
271	339,352,303	70,50,58	361,316,361	39,34,45	251	149
272	225,225,184	1,1,0	221,199,217	0,3,0	603	149
273	13,15,12	229,210,208	14,13,11	210,185,233	443	149
274	32,28,39	398,352,449	44,38,70	306,253,291	654	149
275	54,56,34	674,629,715	91,82,65	728,615,643	652	149
278	41,13,28	49,36,18	15,28,30	36,37,31	239	149
279	3,5,3	23,34,37	5,3,2	26,14,25	247	149
280	18,21,32	149,177,181	30,26,35	148,113,133	359	149
281	3,3,0	12,20,19	0,0,2	7,9,22	241	149
282	539,481,468	202,189,187	512,467,457	254,222,213	483	149
283	102,93,146	2,8,3	126,103,93	4,3,6	319	149
284	96,89,143	616,582,505	122,99,88	610,580,549	314	149
285	153,112,185	671,571,627	145,134,125	646,666,712	230	149
286	407,435,713	0,0,0	495,356,700	1,0,0	271	149
287	6843,6244,5718	3,3,4	6341,6469,6268	2,0,4	150	149
288	26,9,15	2,4,1	5,6,8	0,0,1	466	149
289	0,0,9	213,136,119	3,3,0	54,59,67	471	149
290	0,0,2	2,0,2	1,0,0	2,0,1	232	149
291	0,0,2	1,0,0	1,0,0	3,0,0	236	149
292	117,123,98	9,7,13	164,168,127	12,15,18	444	149
293	131,169,102	2,6,6	112,94,150	4,0,3	539	149
294	135,169,103	25,20,18	115,94,151	20,31,26	550	149
296	64,38,43	0,0,0	50,55,38	0,2,0	185	149
297	425,483,423	20,20,23	513,503,475	34,20,33	281	149
298	11,4,6	74,48,46	13,10,16	58,51,70	246	149
299	41,32,29	0,2,0	42,40,44	0,0,0	291	149
300	1191,1024,952	74,63,67	1219,1409,1274	43,68,47	402	149
301	1008,935,954	680,681,794	1044,758,961	527,498,642	812	149
302	50,44,60	99,74,113	47,42,32	127,96,102	594	149
303	272,266,304	0,0,0	351,270,296	3,1,0	1037	149
304	34,42,52	518,538,468	61,31,26	544,520,557	235	149
305	3,16,7	79,71,90	20,8,12	80,84,81	324	149
306	1,1,1	487,418,451	6,4,3	391,347,345	389	149
307	0,0,1	4,4,6	1,1,2	9,4,3	239	149
308	25,22,20	5,3,9	16,24,16	8,4,6	266	149
309	24,19,18	2,0,0	13,16,15	0,0,2	262	149
310	24,18,16	0,1,3	10,16,15	0,0,3	255	149
311	15,12,3	11,12,9	5,10,7	13,14,8	222	149
312	10,9,2	29,42,46	8,13,8	41,39,46	218	149
313	72,57,77	0,0,0	60,75,64	1,2,0	618	149
314	33,43,42	171,130,120	36,47,39	125,127,138	583	149
315	43,36,25	2,0,0	50,54,41	3,0,0	256	149
316	102,92,118	0,0,1	129,132,99	0,0,1	394	149
317	94,89,111	669,557,556	116,113,93	618,552,591	384	149
319	125,103,138	593,564,507	126,99,133	508,533,584	1623	149
320	24,25,28	333,221,325	36,35,27	245,238,291	508	149
321	13,7,11	168,156,150	15,7,8	120,111,161	259	149
322	26,38,31	31,22,25	15,29,31	25,35,32	222	149
323	2,0,6	5,8,13	1,2,2	16,12,16	230	149
324	59,100,69	0,0,0	67,60,72	0,0,4	2301	149
325	59,100,69	56,45,44	65,60,72	51,50,45	2297	149
326	5,4,10	56,53,56	14,10,14	61,61,47	241	149
327	20,27,15	3,0,1	20,26,16	0,0,0	299	149
328	15,22,13	59,58,56	18,22,16	63,84,52	292	149
330	33,28,28	0,1,0	40,31,23	0,0,1	317	149
331	3,3,1	13,17,11	5,5,2	9,5,6	307	149
332	4,9,3	81,75,92	7,7,8	76,99,86	260	149
333	5,4,4	75,76,79	4,1,12	76,79,74	264	149
335	38,41,45	665,561,820	41,21,37	650,513,661	219	149
336	12,20,18	342,324,330	21,10,18	230,231,225	238	149
337	22,26,16	187,127,163	16,29,18	86,93,99	232	149
338	94,137,172	0,0,0	205,91,73	2,1,0	353	149
339	183,225,235	338,360,359	272,163,143	331,256,280	468	149
340	144,180,204	14618,13318,15321	166,121,94	12889,10417,11779	458	149
341	115,139,188	5,1,6	225,100,110	4,6,2	290	149
342	228,252,267	3,1,4	328,200,191	3,0,1	711	149
343	195,212,242	0,3,2	311,166,168	1,0,0	701	149
344	152,168,204	13220,10600,13507	152,128,128	10537,9152,10027	326	149
345	1144,922,1310	5,7,9	1071,747,950	5,5,5	331	149
346	1144,919,1308	1,1,1	1065,740,947	0,2,0	327	149
347	1667,1710,1245	5,1,0	1714,1842,1548	6,0,0	1015	149
