ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
289	0,0,5	213,136,119	2,0,4	60,38,39	298	149
290	0,0,1	2,0,2	1,1,2	0,0,0	232	149
291	0,0,1	1,0,0	1,1,2	0,0,0	236	149
292	88,85,61	9,7,13	104,111,94	4,14,15	298	149
293	25,26,16	2,6,6	19,24,17	2,2,6	298	149
294	29,25,17	25,20,18	19,22,20	14,16,20	298	149
295	1,0,0	0,0,0	0,0,0	0,0,1	232	149
298	11,4,6	73,47,46	10,5,14	62,48,54	246	149
299	40,32,29	0,2,0	19,32,40	0,1,0	291	149
300	1071,906,846	74,63,67	1013,933,1204	60,56,73	298	149
301	259,225,266	682,681,794	198,208,243	486,530,672	298	149
302	38,38,39	99,74,113	30,35,46	102,91,94	298	149
303	60,69,65	0,0,0	65,63,76	1,0,0	298	149
304	35,44,51	518,536,468	43,49,41	516,525,497	235	149
305	3,16,6	79,71,90	5,14,10	79,95,73	298	149
306	1,1,1	487,415,452	3,3,5	388,360,418	298	149
307	0,0,1	4,4,6	2,0,3	4,2,3	239	149
308	25,22,20	5,3,9	12,19,23	3,2,5	266	149
309	24,19,18	2,0,0	12,18,17	3,0,0	262	149
310	24,18,16	0,1,3	9,14,11	0,3,0	255	149
311	15,12,3	11,12,9	7,11,6	8,6,2	222	149
312	9,11,2	29,42,46	6,15,7	58,37,45	218	149
314	29,37,38	171,130,120	31,34,38	141,144,204	298	149
315	43,36,25	2,0,0	37,49,29	0,0,0	256	149
316	83,77,101	0,0,1	87,86,64	0,1,2	298	149
317	75,74,94	670,560,556	82,79,56	550,518,605	298	149
319	49,34,39	595,569,507	30,39,46	525,532,526	298	149
320	24,25,28	333,221,325	27,26,38	244,256,263	298	149
321	13,7,11	168,156,150	7,8,15	112,113,134	259	149
322	24,38,31	31,22,25	20,27,31	33,25,50	222	149
323	2,0,6	4,4,12	2,3,4	6,2,8	230	149
324	19,4,6	0,0,0	4,3,6	1,0,1	298	149
325	19,4,6	56,45,44	4,2,6	36,39,42	298	149
326	5,3,11	56,53,56	13,6,10	44,29,49	241	149
327	20,24,14	3,0,1	21,9,12	0,0,0	298	149
328	15,19,12	59,58,56	16,5,12	52,54,51	292	149
330	32,24,24	0,1,0	31,15,21	0,0,2	298	149
331	3,6,4	8,11,4	16,0,3	5,3,3	298	149
332	4,9,3	81,75,92	1,6,1	74,89,58	260	149
333	5,4,4	75,76,79	3,10,3	66,76,44	264	149
335	38,33,42	645,545,796	14,19,26	529,495,682	219	149
336	12,20,16	340,324,330	18,12,19	308,274,332	238	149
337	22,26,16	187,127,163	23,12,25	117,95,133	232	149
338	131,170,193	0,0,0	79,154,151	1,0,0	298	149
339	98,130,169	0,0,0	61,136,117	2,0,1	298	149
340	183,216,215	338,360,367	127,185,205	227,269,274	298	149
341	144,171,185	14618,13329,15797	109,161,164	10429,10361,13617	298	149
342	120,139,188	5,1,6	96,144,150	2,0,3	290	149
343	180,189,195	3,1,4	99,174,165	0,1,0	298	149
344	147,149,171	0,3,2	81,156,131	0,0,1	298	149
345	141,161,198	13224,10606,13968	116,166,148	9320,8714,10815	298	149
346	1133,915,1303	5,7,9	853,806,859	0,8,2	298	149
347	1139,913,1305	1,1,1	849,805,856	0,1,0	298	149
348	1565,1593,1139	5,1,0	1559,1425,1722	0,0,0	298	149
349	1532,1553,1115	0,0,0	1541,1407,1688	0,0,27	298	149
350	1533,1572,1146	0,0,2	1576,1421,1707	0,3,3	298	149
351	1580,1560,1176	30381,24195,24196	1594,1431,1732	25631,22117,27349	298	149
352	1869,1602,1340	63960,57576,46555	1613,1464,2084	59197,51641,66106	298	149
353	727,743,695	0,0,0	642,628,727	0,0,2	298	149
354	684,695,671	17,5,14	625,593,676	9,0,0	298	149
355	754,738,717	0,0,0	714,681,777	2,2,0	298	149
356	683,659,591	90265,81612,68196	620,546,666	81056,72006,94038	298	149
357	24,31,31	167,193,206	17,20,26	136,134,139	232	149
358	20,13,15	206,184,206	18,15,11	153,140,166	242	149
359	27,18,20	1,0,0	20,18,20	0,1,1	251	149
360	9,10,2	74,85,83	7,4,13	73,89,72	227	149
363	28,20,54	699,633,698	33,28,24	622,481,678	298	149
364	3,6,9	102,67,67	4,17,10	62,74,93	255	149
365	3,10,2	227,175,219	3,13,11	206,172,208	298	149
366	10,4,3	0,1,0	11,2,5	1,0,0	217	149
367	11,5,3	169,182,142	10,3,5	132,159,153	246	149
368	45,49,35	3,0,1	52,42,38	1,0,1	281	149
369	16,6,1	258,247,217	7,8,12	238,252,246	233	149
370	8,4,3	148,169,109	1,12,7	149,121,130	239	149
371	7,10,5	5,1,0	8,12,12	1,0,1	298	149
372	6,9,5	184,182,133	9,14,11	151,119,164	222	149
373	5,4,10	149,137,106	3,12,7	127,102,137	227	149
375	1,6,1	10,1,3	6,3,7	4,0,0	246	149
376	2009,1818,1703	221,199,210	1645,1728,1869	187,186,243	245	149
377	334,285,358	2789,2552,2308	358,338,412	2554,2554,2702	218	149
378	137,121,109	6,6,3	171,118,198	1,4,1	298	149
379	27,26,23	30,46,33	42,28,29	32,33,30	298	149
383	7,14,12	391,293,314	6,7,6	219,203,234	265	149
385	10,9,6	117,94,94	1,4,3	85,94,106	298	149
386	9,1,2	396,333,293	4,1,1	333,286,388	272	149
388	349,262,253	2,0,0	273,249,299	3,0,1	298	149
389	9,6,5	252,159,171	12,3,3	198,173,200	287	149
390	17,9,8	449,355,408	18,10,10	406,438,430	298	149
393	0,0,0	0,2,0	0,2,0	2,0,3	298	149
394	55,25,37	471,461,399	74,67,60	470,415,507	241	149
395	275,231,210	1,0,5	254,201,260	1,4,1	298	149
396	32,33,34	230,171,181	32,39,37	168,167,185	289	149
397	267,312,343	39,68,45	208,245,249	41,74,46	298	149
398	250,300,341	504,487,505	191,228,254	333,328,396	298	149
399	38,51,35	0,3,4	31,44,36	3,0,5	296	149
400	31,41,27	8,3,0	24,39,28	1,2,2	263	149
401	10,9,7	4,0,2	6,4,10	7,3,1	298	149
402	8,3,5	1005,848,763	11,6,11	931,803,935	298	149
403	31,27,31	0,1,0	32,25,36	0,0,0	298	149
410	4,5,3	0,0,1	6,7,4	0,0,0	298	149
411	40,62,52	2,1,2	31,31,54	2,0,2	298	149
412	18,34,25	61,64,68	17,23,14	52,34,52	298	149
413	0,0,0	24,27,27	1,0,1	28,10,24	222	149
415	10,11,9	1,4,0	13,13,11	1,1,1	298	149
416	12,10,9	0,4,1	11,13,11	0,1,0	298	149
417	23,25,25	13468,10832,9679	37,21,29	13040,12091,14853	298	149
418	253,246,188	100,65,83	299,271,306	135,91,134	298	149
419	12,9,11	2694,1845,2306	13,17,16	2030,1953,2344	244	149
420	2,3,1	57,32,53	6,1,1	40,39,32	227	149
421	17,13,9	11,2,17	16,15,8	8,7,14	298	149
425	4,2,0	140,117,75	10,3,6	121,87,122	298	149
427	45,33,42	0,0,0	43,33,49	1,0,0	298	149
428	53,35,42	1,2,0	44,39,51	2,1,3	298	149
430	49,34,42	0,1,2	44,39,47	0,0,0	298	149
434	39,23,23	1,0,0	54,25,30	0,0,0	243	149
435	35,21,20	1,3,0	46,21,22	0,0,1	224	149
438	3,2,0	5,5,4	1,1,3	1,2,0	247	149
439	16,6,20	12,7,11	11,4,8	5,4,1	298	149
440	28,26,33	33,35,42	22,18,27	35,32,39	271	149
441	85,71,83	0,4,4	77,67,82	1,2,0	298	149
443	1,0,0	2,0,0	0,4,0	0,0,0	298	149
445	21,20,32	7,4,4	7,18,32	0,2,3	298	149
446	10,6,10	5,4,8	0,1,8	3,4,6	224	149
448	5,9,9	609,489,566	7,5,14	507,414,506	298	149
449	9,18,12	568,461,467	11,9,17	491,390,484	298	149
450	3,4,5	112,89,90	7,1,8	104,80,111	217	149
451	24,12,23	99,91,83	16,17,18	86,71,76	298	149
452	1166,992,753	2,4,4	898,791,960	2,8,9	298	149
453	252,257,162	15808,12888,11131	159,122,187	13673,12362,14143	298	149
454	4,2,9	2,2,7	3,1,3	2,3,4	298	149
455	7,11,7	573,436,484	7,8,12	453,385,498	228	149
